study,version,part,npix,threads,iters,converged,time,busymax,busymin,busyavg,hash,rep,load
converge,omp,dynamic,400,4,47875,1,3.948717,3.6510,3.6297,3.6404,f399eabf7074e4bd,2,1.88
converge,omp,static,400,8,47875,1,2.134055,2.0290,1.7469,1.8241,f399eabf7074e4bd,2,2.05
converge,omp,dynamic,400,8,47875,1,2.282053,1.9379,1.9305,1.9336,f399eabf7074e4bd,2,2.05
converge,seq,seq,800,1,165265,1,197.336602,,,,e420520e75615ac3,1,2.53
converge,omp,static,800,8,165265,1,27.602155,26.2648,24.0405,25.2114,e420520e75615ac3,1,1.06
converge,omp,dynamic,800,8,165265,1,30.294535,25.8203,25.6467,25.7271,e420520e75615ac3,1,3.80
strong,seq,seq,400,1,10000,0,2.988083,,,,423da4f6aba24111,1,5.45
strong,omp,static,400,1,10000,0,3.005400,2.9990,2.9990,2.9990,423da4f6aba24111,1,5.45
strong,omp,dynamic,400,1,10000,0,2.991245,2.9850,2.9850,2.9850,423da4f6aba24111,1,5.10
strong,omp,static,400,2,10000,0,1.506567,1.4930,1.4820,1.4875,423da4f6aba24111,1,5.10
strong,omp,dynamic,400,2,10000,0,1.519082,1.4995,1.4970,1.4982,423da4f6aba24111,1,4.85
strong,omp,static,400,3,10000,0,1.013182,0.9952,0.9892,0.9922,423da4f6aba24111,1,4.85
strong,omp,dynamic,400,3,10000,0,1.028684,1.0075,1.0020,1.0049,423da4f6aba24111,1,4.85
strong,omp,static,400,4,10000,0,0.773949,0.7573,0.7228,0.7442,423da4f6aba24111,1,4.85
strong,omp,dynamic,400,4,10000,0,0.824531,0.7644,0.7589,0.7614,423da4f6aba24111,1,4.78
strong,omp,static,400,5,10000,0,0.641836,0.6142,0.5833,0.5984,423da4f6aba24111,1,4.78
strong,omp,dynamic,400,5,10000,0,0.716663,0.6209,0.6123,0.6173,423da4f6aba24111,1,4.78
strong,omp,static,400,6,10000,0,0.594827,0.5732,0.4821,0.5104,423da4f6aba24111,1,4.78
strong,omp,dynamic,400,6,10000,0,0.602986,0.5328,0.5284,0.5298,423da4f6aba24111,1,4.78
strong,omp,static,400,7,10000,0,0.541976,0.5106,0.4169,0.4423,423da4f6aba24111,1,4.78
strong,omp,dynamic,400,7,10000,0,0.616412,0.4790,0.4668,0.4733,423da4f6aba24111,1,4.78
strong,omp,static,400,8,10000,0,0.458041,0.4331,0.3660,0.3828,423da4f6aba24111,1,5.04
strong,omp,dynamic,400,8,10000,0,0.484370,0.4114,0.4059,0.4077,423da4f6aba24111,1,5.04
strong,seq,seq,800,1,2500,0,3.098384,,,,99022d33efc11489,1,5.04
strong,omp,static,800,1,2500,0,3.127505,3.1252,3.1252,3.1252,99022d33efc11489,1,5.04
strong,omp,dynamic,800,1,2500,0,3.109693,3.1074,3.1074,3.1074,99022d33efc11489,1,4.71
strong,omp,static,800,2,2500,0,1.604238,1.5739,1.5667,1.5703,99022d33efc11489,1,4.42
strong,omp,dynamic,800,2,2500,0,1.572712,1.5534,1.5516,1.5525,99022d33efc11489,1,4.42
strong,omp,static,800,3,2500,0,1.072057,1.0599,1.0232,1.0368,99022d33efc11489,1,4.42
strong,omp,dynamic,800,3,2500,0,1.058854,1.0369,1.0283,1.0317,99022d33efc11489,1,4.42
strong,omp,static,800,4,2500,0,0.822035,0.8040,0.7356,0.7755,99022d33efc11489,1,4.38
strong,omp,dynamic,800,4,2500,0,0.803048,0.7797,0.7744,0.7780,99022d33efc11489,1,4.38
strong,omp,static,800,5,2500,0,0.676839,0.6641,0.5934,0.6233,99022d33efc11489,1,4.38
strong,omp,dynamic,800,5,2500,0,0.672513,0.6249,0.6227,0.6233,99022d33efc11489,1,4.38
strong,omp,static,800,6,2500,0,0.578685,0.5367,0.5031,0.5194,99022d33efc11489,1,4.38
strong,omp,dynamic,800,6,2500,0,0.558293,0.5230,0.5164,0.5193,99022d33efc11489,1,4.38
strong,omp,static,800,7,2500,0,0.470557,0.4534,0.4164,0.4386,99022d33efc11489,1,4.51
strong,omp,dynamic,800,7,2500,0,0.477071,0.4457,0.4427,0.4441,99022d33efc11489,1,4.51
strong,omp,static,800,8,2500,0,0.409791,0.3910,0.3623,0.3815,99022d33efc11489,1,4.51
strong,omp,dynamic,800,8,2500,0,0.457528,0.3917,0.3865,0.3892,99022d33efc11489,1,4.51
strong,seq,seq,1600,1,625,0,4.623112,,,,ae1209a2bebdad4f,1,4.51
strong,omp,static,1600,1,625,0,4.627579,4.6268,4.6268,4.6268,ae1209a2bebdad4f,1,4.23
strong,omp,dynamic,1600,1,625,0,4.662920,4.6622,4.6622,4.6622,ae1209a2bebdad4f,1,3.97
strong,omp,static,1600,2,625,0,2.377347,2.3639,2.2650,2.3145,ae1209a2bebdad4f,1,3.73
strong,omp,dynamic,1600,2,625,0,2.380179,2.3190,2.3165,2.3177,ae1209a2bebdad4f,1,3.73
strong,omp,static,1600,3,625,0,1.715884,1.6696,1.4490,1.5410,ae1209a2bebdad4f,1,3.59
strong,omp,dynamic,1600,3,625,0,1.820092,1.5719,1.5471,1.5606,ae1209a2bebdad4f,1,3.59
strong,omp,static,1600,4,625,0,1.390438,1.3864,0.9674,1.1553,ae1209a2bebdad4f,1,3.59
strong,omp,dynamic,1600,4,625,0,1.363998,1.1751,1.1563,1.1665,ae1209a2bebdad4f,1,3.63
strong,omp,static,1600,5,625,0,1.188351,1.1665,0.7854,0.9207,ae1209a2bebdad4f,1,3.63
strong,omp,dynamic,1600,5,625,0,1.149816,0.9294,0.9183,0.9235,ae1209a2bebdad4f,1,3.63
strong,omp,static,1600,6,625,0,0.970563,0.9542,0.6810,0.7666,ae1209a2bebdad4f,1,3.63
strong,omp,dynamic,1600,6,625,0,1.009519,0.7785,0.7698,0.7747,ae1209a2bebdad4f,1,3.82
strong,omp,static,1600,7,625,0,0.802900,0.7719,0.5483,0.6524,ae1209a2bebdad4f,1,3.82
strong,omp,dynamic,1600,7,625,0,0.878617,0.6661,0.6582,0.6615,ae1209a2bebdad4f,1,3.82
strong,omp,static,1600,8,625,0,0.789459,0.7685,0.4522,0.5764,ae1209a2bebdad4f,1,3.82
strong,omp,dynamic,1600,8,625,0,0.841185,0.6018,0.5783,0.5848,ae1209a2bebdad4f,1,3.82
strong,seq,seq,3200,1,156,0,3.984330,,,,9e0bf857c97eb34,1,4.15
strong,omp,static,3200,1,156,0,4.011219,4.0108,4.0108,4.0108,9e0bf857c97eb34,1,4.15
strong,omp,dynamic,3200,1,156,0,4.000139,3.9997,3.9997,3.9997,9e0bf857c97eb34,1,3.90
strong,omp,static,3200,2,156,0,2.105952,2.0614,2.0068,2.0341,9e0bf857c97eb34,1,3.67
strong,omp,dynamic,3200,2,156,0,2.051029,2.0170,1.9735,1.9952,9e0bf857c97eb34,1,3.53
strong,omp,static,3200,3,156,0,1.352719,1.3245,1.2919,1.3121,9e0bf857c97eb34,1,3.53
strong,omp,dynamic,3200,3,156,0,1.391684,1.3292,1.3011,1.3191,9e0bf857c97eb34,1,3.53
strong,omp,static,3200,4,156,0,1.038484,1.0206,0.9790,0.9930,9e0bf857c97eb34,1,3.49
strong,omp,dynamic,3200,4,156,0,1.081336,1.0085,0.9774,0.9919,9e0bf857c97eb34,1,3.49
strong,omp,static,3200,5,156,0,0.814162,0.8012,0.7777,0.7899,9e0bf857c97eb34,1,3.49
strong,omp,dynamic,3200,5,156,0,0.893912,0.7978,0.7853,0.7907,9e0bf857c97eb34,1,3.49
strong,omp,static,3200,6,156,0,0.705780,0.6806,0.6565,0.6642,9e0bf857c97eb34,1,3.49
strong,omp,dynamic,3200,6,156,0,0.764784,0.6722,0.6442,0.6603,9e0bf857c97eb34,1,3.37
strong,omp,static,3200,7,156,0,0.608822,0.5823,0.5482,0.5691,9e0bf857c97eb34,1,3.37
strong,omp,dynamic,3200,7,156,0,0.672605,0.5775,0.5585,0.5668,9e0bf857c97eb34,1,3.37
strong,omp,static,3200,8,156,0,0.537999,0.5245,0.4667,0.4988,9e0bf857c97eb34,1,3.37
strong,omp,dynamic,3200,8,156,0,0.598109,0.5007,0.4921,0.4969,9e0bf857c97eb34,1,3.37
strong,seq,seq,400,1,10000,0,2.999928,,,,423da4f6aba24111,2,3.37
strong,omp,static,400,1,10000,0,2.985460,2.9795,2.9795,2.9795,423da4f6aba24111,2,3.18
strong,omp,dynamic,400,1,10000,0,3.018539,3.0123,3.0123,3.0123,423da4f6aba24111,2,3.01
strong,omp,static,400,2,10000,0,1.567817,1.5280,1.5189,1.5234,423da4f6aba24111,2,3.01
strong,omp,dynamic,400,2,10000,0,1.580823,1.5538,1.5486,1.5512,423da4f6aba24111,2,2.93
strong,omp,static,400,3,10000,0,1.072863,1.0170,1.0144,1.0155,423da4f6aba24111,2,2.93
strong,omp,dynamic,400,3,10000,0,1.086016,1.0527,1.0486,1.0504,423da4f6aba24111,2,2.93
strong,omp,static,400,4,10000,0,0.780387,0.7590,0.7180,0.7468,423da4f6aba24111,2,2.93
strong,omp,dynamic,400,4,10000,0,0.842771,0.7781,0.7708,0.7729,423da4f6aba24111,2,2.93
strong,omp,static,400,5,10000,0,0.699251,0.6686,0.5854,0.6248,423da4f6aba24111,2,3.01
strong,omp,dynamic,400,5,10000,0,0.710329,0.6415,0.6360,0.6387,423da4f6aba24111,2,3.01
strong,omp,static,400,6,10000,0,0.620923,0.5838,0.4880,0.5262,423da4f6aba24111,2,3.01
strong,omp,dynamic,400,6,10000,0,0.622128,0.5420,0.5350,0.5384,423da4f6aba24111,2,3.01
strong,omp,static,400,7,10000,0,0.535846,0.4955,0.4208,0.4485,423da4f6aba24111,2,3.01
strong,omp,dynamic,400,7,10000,0,0.559867,0.4806,0.4748,0.4775,423da4f6aba24111,2,3.01
strong,omp,static,400,8,10000,0,0.600466,0.4827,0.3649,0.4100,423da4f6aba24111,2,3.01
strong,omp,dynamic,400,8,10000,0,0.530668,0.4193,0.4150,0.4174,423da4f6aba24111,2,3.41
strong,seq,seq,800,1,2500,0,3.074450,,,,99022d33efc11489,2,3.41
strong,omp,static,800,1,2500,0,3.092641,3.0904,3.0904,3.0904,99022d33efc11489,2,3.41
strong,omp,dynamic,800,1,2500,0,3.095207,3.0928,3.0928,3.0928,99022d33efc11489,2,3.22
strong,omp,static,800,2,2500,0,1.588538,1.5808,1.5357,1.5582,99022d33efc11489,2,3.22
strong,omp,dynamic,800,2,2500,0,1.582424,1.5563,1.5474,1.5519,99022d33efc11489,2,3.04
strong,omp,static,800,3,2500,0,1.056675,1.0415,1.0178,1.0268,99022d33efc11489,2,3.04
strong,omp,dynamic,800,3,2500,0,1.047087,1.0273,1.0228,1.0247,99022d33efc11489,2,3.04
strong,omp,static,800,4,2500,0,0.828192,0.8250,0.7209,0.7680,99022d33efc11489,2,3.04
strong,omp,dynamic,800,4,2500,0,0.787236,0.7680,0.7645,0.7664,99022d33efc11489,2,3.04
strong,omp,static,800,5,2500,0,0.644524,0.6293,0.5930,0.6162,99022d33efc11489,2,3.04
